"user_id","friend_user_id"
"us81939","us82668"
"us79841","us80765"
"us83149","us83145"
"us73216","us32215"
"us81939","us81596"
"us79841","us58311"
"us83504","us83451"
"us83610","us58311"
"us84430","us84429"
"us84468","us65434"
"us13682","us83927"
"us17806","us87427"
"us17806","us58811"
"us17806","us72417"
"us13682","us88838"
"us13682","us87210"
"us139","us93735"
"us13682","us93735"
"us17806","us89123"
"us17806","us33836"
"us17806","us60202"
"us17806","us140"
"us17806","us84441"
"us17806","us85134"
"us17806","us93735"
"us100672","us60202"
"us100790","us100791"
"us100672","us32215"
"us101062","us86943"
"us13682","us93803"
"us17806","us93550"
"us17806","us93693"
"us17806","us94330"
"us17806","us94655"
"us17806","us83927"
"us17806","us92973"
"us17806","us92935"
"us13682","us53281"
"us17806","us73216"
"us100790","us101045"
"us102825","us94717"
"us102413","us58311"
"us139","us82956"
"us139","us53281"
"us102413","us32498"
"us103313","us86719"
"us103550","us32498"
"us103550","us87264"
"us103550","us34653"
"us103550","us87427"
"us103625","us58311"
"us102413","us33836"
"us103919","us103923"
"us103919","us103920"
"us13682","us82956"
"us13682","us95029"
"us102336","us104044"
"us103550","us35923"
"us13682","us91187"
"us103550","us20648"
"us103550","us92935"
"us104407","us58311"
"us17806","us82956"
"us17806","us91187"
"us13682","us92973"
"us103253","us102863"
"us103253","us58311"
"us104622","us102359"
"us103550","us48344"
"us106285","us101507"
"us106285","us106637"
"us106285","us60202"
"us106285","us58311"
"us107568","us107127"
"us106736","us106695"
"us17806","us101024"
"us107926","us96900"
"us106285","us103862"
"us106285","us101024"
"us106285","us32498"
"us107568","us107983"
"us107926","us90825"
"us106285","us105717"
"us107960","us70585"
"us106285","us33644"
"us103253","us104074"
"us106285","us107654"
"us106285","us70585"
"us102413","us7438"
"us102413","us53281"
"us106285","us106695"
"us106285","us98530"
"us102413","us35953"
"us108843","us98530"
"us103253","us98530"
"us106285","us53281"
"us102413","us5"
"us106285","us109286"
"us111586","us98530"
"us111586","us102863"
"us111586","us109286"
"us111586","us97714"
"us102413","us4113"
"us105710","us99172"
"us112104","us112105"
"us111586","us36126"
"us112104","us112021"
"us111586","us111302"
"us106285","us112021"
"us111586","us112312"
"us107960","us111304"
"us111304","us107960"
"us112808","us58311"
"us106285","us102863"
"us112808","us112968"
"us113051","us112975"
"us113051","us104074"
"us113051","us92963"
"us113051","us111807"
"us110207","us58311"
"us111586","us86943"
"us110014","us32498"
"us107960","us113374"
"us103253","us35572"
"us103253","us112138"
"us113727","us98530"
"us113727","us113422"
"us113727","us58311"
"us111586","us112021"
"us139","us91187"
"us113727","us70585"
"us113727","us114142"
"us113727","us112691"
"us139","us112691"
"us106285","us113785"
"us25914","us81963"
"us25914","us36190"
"us33644","us72417"
"us33644","us73216"
"us36126","us85134"
"us36126","us87536"
"us41052","us81963"
"us36190","us25914"
"us45183","us68776"
"us45183","us31941"
"us25914","us90086"
"us25914","us81939"
"us25914","us83927"
"us25914","us69624"
"us25914","us58311"
"us50437","us53281"
"us53281","us50437"
"us53281","us73216"
"us53281","us58311"
"us53281","us65434"
"us54654","us69691"
"us53281","us63906"
"us53281","us89325"
"us53281","us91158"
"us53281","us85178"
"us53281","us87563"
"us53281","us72832"
"us53281","us83927"
"us53281","us89269"
"us53281","us93735"
"us58521","us34750"
"us71850","us86349"
"us73216","us48659"
"us73216","us85148"
