user_id,degs,deg_adj,ego,CC,CC_adj,ego_out,ego_adj
us584102,2,30.0,0,0.0,0.164502164502,60,59
us769014,3,45.0,0,0.0,0.146429521243,135,129
us236819,1,14.0,0,0.0,0.021978021978,14,14
us601036,1,1.0,0,0.0,0.0,1,1
us144158,3,80.6666666667,0,0.0,0.0141961043249,242,239
us764578,1,65.0,0,0.0,0.0961538461538,65,65
us448020,1,5.0,0,0.0,0.0,5,5
us746835,3,213.666666667,0,0.0,0.00850161868568,641,637
us771336,13,83.3076923077,13,0.166666666667,0.085373383926,1057,861
us99416,1,4.0,0,0.0,0.5,4,4
us247213,5,3.8,4,0.4,0.5,11,5
us222811,1,1.0,0,0.0,0.0,1,1
us115051,1,42.0,0,0.0,0.199767711963,42,42
us492157,4,48.5,1,0.166666666667,0.132742385869,192,162
us462086,1,39.0,0,0.0,0.0823211875843,39,39
us293030,2,39.5,0,0.0,0.0839160839161,79,78
us584073,1,54.0,0,0.0,0.132774283718,54,54
us46296,1,372.0,0,0.0,0.0191867373852,372,372
us729741,1,1.0,0,0.0,0.0,1,1
us6233,2,57.5,0,0.0,0.0402180783818,115,114
us195973,2,110.0,0,0.0,0.0635622690719,220,217
us417223,5,66.2,5,0.5,0.170268765812,321,278
us309435,1,3.0,0,0.0,0.0,3,3
us103920,1,2.0,0,0.0,0.0,2,2
us279014,2,10.5,0,0.0,0.0438596491228,21,19
us613974,1,186.0,0,0.0,0.0288869514676,186,186
us786544,6,48.5,1,0.0666666666667,0.0706322111051,289,256
us607332,4,128.0,1,0.166666666667,0.0725265268685,510,476
us41942,23,65.4782608696,103,0.407114624506,0.207257938362,1300,739
us615017,8,102.375,9,0.321428571429,0.108474804212,801,591
us41913,1,2.0,0,0.0,0.0,2,2
us144605,5,177.2,3,0.3,0.0475609771813,880,761
us119873,1,55.0,0,0.0,0.0794612794613,55,55
us128968,1,98.0,0,0.0,0.11319166842,98,98
us34817,1,91.0,0,0.0,0.114041514042,91,91
us248832,1,46.0,0,0.0,0.0985507246377,46,46
us105710,3,3.0,0,0.0,0.0793650793651,9,7
us184157,17,60.1764705882,15,0.110294117647,0.0826838735638,993,696
us270747,2,71.0,0,0.0,0.0624133864072,142,137
us163923,13,190.923076923,20,0.25641025641,0.125432362878,2442,1780
us760376,3,100.0,0,0.0,0.0808491037082,300,296
us651451,1,375.0,0,0.0,0.0323707664884,375,375
us358749,43,97.3488372093,120,0.132890365449,0.184616705611,3946,2218
us274634,18,117.888888889,25,0.16339869281,0.191471930209,2072,1438
us393571,1,49.0,0,0.0,0.0654761904762,49,49
us393524,34,105.147058824,160,0.285204991087,0.124751069099,3255,1580
